A_07_P032290	c_2727
A_07_P000883	b2219
A_07_P031648	c_2450
A_07_P035397	c_2352
A_07_P020811	b1636
A_07_P012555	b3215
A_07_P053407	ECs3305
A_07_P014013	b2345
A_07_P061489	ECs5029
A_07_P005317	b0975
A_07_P058616	ECs1948
A_07_P051428	Z1464
A_07_P003199	b2085
A_07_P009499	b1482
A_07_P033376	c_0786
A_07_P051100	Z1339
A_07_P053705	ECs0301
A_07_P050583	Z1891
A_07_P041848	c_4235
A_07_P013863	b2315
A_07_P032576	c_3323
A_07_P049917	Z5207
A_07_P001133	b2269
A_07_P060536	ECs1404
A_07_P044588	Z2979
A_07_P043432	Z0317
A_07_P021179	b0413
A_07_P003515	b2150
A_07_P063542	ECs4260
A_07_P009441	b1470
A_07_P051702	Z0863
A_07_P007673	b3549
A_07_P047883	Z2122
A_07_P031141	c_0545
A_07_P055891	ECs3499
A_07_P008863	b4044
A_07_P033929	c_1129
A_07_P010846	b0032
A_07_P063252	ECs2555
A_07_P002361	b2783
A_07_P033665	c_0960
A_07_P059869	ECs4300
A_07_P018861	b1763
A_07_P049716	Z5116
A_07_P013364	b2461
A_07_P009026	b4077
A_07_P004566	b0823
A_07_P020600	b1593
A_07_P011623	b4181
A_07_P009252	b1432
A_07_P006426	b2892
A_07_P041534	c_0621
A_07_P005991	b2799
A_07_P058017	ECs4949
A_07_P034279	c_4064
A_07_P048470	Z2461
A_07_P008605	b3988
A_07_P044913	Z3130
A_07_P040806	c_1389
A_07_P030480	c_3197
A_07_P020104	b2647
A_07_P003556	b2159
A_07_P003377	b2123
A_07_P053458	ECs3398
A_07_P017072	b3626
A_07_P061980	ECs1170
A_07_P036811	c_3773
A_07_P009956	b0688
A_07_P008728	b4017
A_07_P056799	ECs0826
A_07_P007289	b3470
A_07_P014186	b2381
A_07_P044279	Z6063
A_07_P038004	c_5195
A_07_P003401	b2128
A_07_P055548	ECs2814
A_07_P038485	c_1554
A_07_P017173	b3646
A_07_P030291	c_3151
A_07_P020098	b2646
A_07_P045570	Z3568
A_07_P044078	Z2506
A_07_P049559	Z5050
A_07_P021347	b0447
A_07_P055179	ECs2671
A_07_P021005	b0378
A_07_P021356	b0449
A_07_P046210	Z4864
A_07_P030898	c_0398
A_07_P040286	c_1192
A_07_P062388	ECs1274
A_07_P031211	c_0608
A_07_P044137	Z2560
A_07_P052595	Z3000
A_07_P000396	b3135
A_07_P018014	b3397
A_07_P038172	c_1466
A_07_P057860	ECs4828
A_07_P030524	c_3214
A_07_P007703	b3555
A_07_P010438	b1477
A_07_P051151	Z1355
A_07_P050289	Z1808
A_07_P056330	ECs3802
A_07_P054146	ECs0573
A_07_P005727	b3769
A_07_P040757	c_1316
A_07_P030343	c_3162
A_07_P037915	c_5169
A_07_P033450	c_0852
A_07_P033988	c_1169
A_07_P044296	Z6068
A_07_P062229	ECs1223
A_07_P015874	b1839
A_07_P054207	ECs0636
A_07_P035263	c_2185
A_07_P054572	ECs2202
A_07_P015956	b1856
A_07_P030911	c_0409
